filename	mofkey
ALOLIY_clean.cif	Mn.QURGMSIQFRADOZ.MOFkey-v1.tfi
ALOLOD_charged.cif	In.QNVNLUSHGRBCLO.SBBQDUFLZGOASY.MOFkey-v1.npo
ALONEV_clean.cif	Mn.GNXBMAAQFQDWPH.KQMMUWFZILXULW.MOFkey-v1.ERROR
ALUJEX_clean.cif	La.KKEYFWRCBNTPAC.MOFkey-v1.UNKNOWN
ALUJIB_clean.cif	Ce.KKEYFWRCBNTPAC.MOFkey-v1.ERROR
ALUJOH_clean.cif	Nd.KKEYFWRCBNTPAC.MOFkey-v1.ERROR
ALUJUN_clean.cif	Y.KKEYFWRCBNTPAC.MOFkey-v1.pcu
ALUKAU_clean.cif	Dy.KKEYFWRCBNTPAC.MOFkey-v1.pcu
ALUKIC_clean.cif	Ce.NWHZQELJCLSKNV.MOFkey-v1.pcu
ALUKOI_clean.cif	Sm.NWHZQELJCLSKNV.MOFkey-v1.pcu
ALUKUO_clean.cif	Eu.NWHZQELJCLSKNV.MOFkey-v1.pcu
ALULAV_clean.cif	Gd.NWHZQELJCLSKNV.MOFkey-v1.pcu
ALULEZ_clean.cif	Ce.NWHZQELJCLSKNV.MOFkey-v1.ERROR
ALULID_clean.cif	Ce.NWHZQELJCLSKNV.MOFkey-v1.UNKNOWN
ALURAB_clean.cif	Co.CCFQGMUIMDVHAC.MWVTWFVJZLCBMC.MOFkey-v1.ERROR
ALUREF_clean.cif	Co.CCFQGMUIMDVHAC.MWVTWFVJZLCBMC.MOFkey-v1.ERROR
ALURIJ_clean.cif	Ni.CCFQGMUIMDVHAC.MWVTWFVJZLCBMC.MOFkey-v1.ERROR
AMAFOK_clean.cif	Cu.IIVUJUOJERNGQX.MOFkey-v1.nbo
AMAFUQ_clean.cif	Cu.IIVUJUOJERNGQX.MOFkey-v1.nbo
AMAGAX_clean.cif	Cu.IIVUJUOJERNGQX.MOFkey-v1.nbo
AMALND_clean.cif	Nd.WZWVWDUGLHBFRR.MOFkey-v1.ERROR
AMEJIM_charged.cif	FeCu.JEVCWSUVFOYBFI.RDIWWPXFMMHESU.MOFkey-v1.ERROR
AMEJOS_charged.cif	FeCu.JEVCWSUVFOYBFI.NTANRROZYHTONX.MOFkey-v1.ERROR
AMIKOX_clean.cif	Cd.AECYBGVNRKERAQ.MOFkey-v1.pts
AMILOY_clean.cif	Zn.RXOHFPCZGPKIRD.VKYKSIONXSXAKP.MOFkey-v1.UNKNOWN
AMILUE_clean.cif	Zn.RXOHFPCZGPKIRD.VKYKSIONXSXAKP.MOFkey-v1.UNKNOWN
AMIMAL_clean.cif	Zn.RXOHFPCZGPKIRD.VKYKSIONXSXAKP.MOFkey-v1.UNKNOWN
AMIMEP_clean.cif	Zn.RXOHFPCZGPKIRD.VKYKSIONXSXAKP.MOFkey-v1.UNKNOWN
AMIWID_clean.cif	Eu.CYIDZMCFTVVTJO.MOFkey-v1.UNKNOWN
AMIWOJ_clean.cif	Gd.CYIDZMCFTVVTJO.MOFkey-v1.UNKNOWN
AMIWUP_clean.cif	Tb.CYIDZMCFTVVTJO.MOFkey-v1.UNKNOWN
AMIXAW_clean.cif	Dy.CYIDZMCFTVVTJO.MOFkey-v1.UNKNOWN
AMIXEA_clean.cif	Ho.CYIDZMCFTVVTJO.MOFkey-v1.UNKNOWN
AMIZIG_clean.cif	NaZn.GZJYHAYPVZNUJX.PMZBHPUNQNKBOA.MOFkey-v1.pcu
AMIZON01_clean.cif	Cu.BDAGIHXWWSANSR.MOFkey-v1.ERROR
AMODUC_clean.cif	Tb.SBBQDUFLZGOASY.MOFkey-v1.pcu
AMOFAK_clean.cif	Eu.SBBQDUFLZGOASY.MOFkey-v1.pcu
AMOYOR_clean.cif	Zn.QRZWEROLVZUPJH.SLWIPPZWFZGHEU.MOFkey-v1.dia
AMOZAE_clean.cif	KSm.JRDBISOHUUQXHE.MOFkey-v1.ERROR
AMUCOB_clean.cif	Ca.JFCQEDHGNNZCLN.MOFkey-v1.UNKNOWN
AMUFAR_clean.cif	Co.MAWKLXRVKVOYLR.WOSVXXBNNCUXMT.MOFkey-v1.UNKNOWN
AMUFEV_clean.cif	Co.MGFJDEHFNMWYBD.WOSVXXBNNCUXMT.MOFkey-v1.UNKNOWN
AMUFIZ_clean.cif	Co.WOSVXXBNNCUXMT.XUPMSLUFFIXCDA.MOFkey-v1.UNKNOWN
AMUFOF_clean.cif	Co.JWPDUQLIPMJLOF.WOSVXXBNNCUXMT.MOFkey-v1.UNKNOWN
AMUPOP_clean.cif	Zn.LGCPYQSYWVJQCJ.QAKXCZXOUYPSIF.MOFkey-v1.UNKNOWN
AMUWIP_charged.cif	CuW.RERPRBPQDPHWCZ.MOFkey-v1.dia
AMUWUB_clean.cif	Cu.JRDBISOHUUQXHE.NUMRJFUDFISUFQ.MOFkey-v1.ERROR
AMUXAI_clean.cif	Cu.JRDBISOHUUQXHE.NUMRJFUDFISUFQ.MOFkey-v1.ERROR
ANAWIX_clean.cif	In.WFNRNCNCXRGUKN.MOFkey-v1.ERROR
ANAWOD_clean.cif	In.WFNRNCNCXRGUKN.MOFkey-v1.rna
ANEHEI_clean.cif	Zn.AQWKCIKVTPBNDF.PXGZQGDTEZPERC.XLTORTMOVVGLEX.MOFkey-v1.UNKNOWN
ANENEN_clean.cif	La.CTOUIGJBCDQPBH.JHLPTNCUARGJQS.MOFkey-v1.ERROR
ANENIR_clean.cif	La.GSOPQDDCZNBCES.MOFkey-v1.ERROR
ANEPIT_clean.cif	Co.HRGSKQRXBGCEAZ.OGNCVVRIKNGJHQ.MOFkey-v1.ERROR
ANIDIL_clean.cif	Co.OGNCVVRIKNGJHQ.QQVIHTHCMHWDBS.WICWEGVAKQUALI.MOFkey-v1.ERROR
ANOMOG_clean.cif	Cu.GZJYHAYPVZNUJX.RYFYCPDCRKHALS.MOFkey-v1.UNKNOWN
ANOMUM_clean.cif	Cu.RYFYCPDCRKHALS.MOFkey-v1.lvt
ANONAT_manual.cif	Cu.RYFYCPDCRKHALS.MOFkey-v1.lvt
ANUGEW_clean.cif	Cu.NSCIYASAEQYMAT.MOFkey-v1.fmj
ANUGIA_clean.cif	Cu.SFQRRWVFWPTCJU.MOFkey-v1.nbo
ANUGOG_clean.cif	Cu.SFQRRWVFWPTCJU.MOFkey-v1.UNKNOWN
ANUGUM_clean.cif	Zn.GBVMDGSMCGYXPJ.MOFkey-v1.bnn
APACAX_clean.cif	Zn.DPCGIIXULBQIEN.MOFkey-v1.UNKNOWN
APAGIJ_clean.cif	
APARAM_clean.cif	Mn.DDHIKHUSJHJWQC.MOFkey-v1.kgm
APAYIB_clean.cif	Eu.AKCOXFGRLZSRRR.MOFkey-v1.UNKNOWN
APAYOH_clean.cif	Tb.AKCOXFGRLZSRRR.MOFkey-v1.UNKNOWN
